KEY	INTPTLAT10	INTPTLON10
655	37.1267038	-89.3358748
656	37.059207	-89.2152278
657	37.0138696	-89.1806252
658	37.0022672	-89.1836229
659	42.1813073	-88.1125853
660	42.1722989	-88.0968787
661	42.1902498	-87.9326797
662	42.4163662	-88.0324428
663	42.3535978	-88.0631024
664	42.382597	-88.0844984
665	42.3757657	-88.0842537
666	42.3945675	-88.0713137
667	37.3495577	-89.1731779
668	37.5117652	-89.1989618
669	42.1602685	-87.8498925
670	42.1771121	-87.8627928
671	42.1682755	-87.856548
672	42.1785172	-87.8571888
673	42.2828286	-87.8774208
674	42.2809945	-87.8414262
675	42.2739471	-87.8410464
676	42.2474407	-87.8352019
677	40.7988913	-87.8161388
678	40.776168	-88.0241665
679	42.2800216	-87.862306
680	37.3012834	-89.4612208
681	37.2930028	-89.3317485
682	37.2439759	-89.2840539
683	37.1983485	-89.4307199
684	42.2617489	-87.8388675
685	40.7301112	-87.9340897
686	42.2800116	-87.8301648
687	42.3839315	-87.853494
688	42.3641563	-87.8411061
689	42.3953459	-87.8693114
690	42.3618875	-87.8503822
691	42.3726783	-87.8607337
692	42.3726585	-87.8509069
693	42.3778739	-87.8420342
694	42.3751736	-87.8388127
695	42.371476	-87.842655
696	42.3826855	-87.840636
697	42.2736108	-87.9576406
698	42.2736503	-87.9696112
699	42.2763997	-87.9737986
700	42.2790913	-87.9904859
701	42.2638272	-88.0001298
702	36.9879616	-89.1636803
703	42.2602391	-88.0119469
704	42.2252787	-87.9663318
705	42.1880041	-88.077129
706	42.4003354	-87.9415261
707	42.3813644	-87.9345474
708	42.4023605	-87.9746319
709	42.2095358	-88.347113
710	42.2216855	-88.3354033
711	42.2233216	-88.3281569
712	42.4011037	-88.283681
713	42.3856446	-88.2284144
714	42.2160713	-88.3222032
715	42.2160836	-88.3308462
716	42.1970958	-88.3514642
717	42.1609458	-88.3217099
718	42.1721542	-88.3242793
719	42.2338038	-88.3014712
720	42.2377712	-88.3334156
721	42.1940307	-88.3440697
722	42.3053963	-88.2972793
723	42.1876301	-88.3442006
